;Invoice ID;Branch;City;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;cogs;gross margin percentage;gross income;Rating;;;;;
23;636-48-8204;A;Yangon;Normal;Male;Electronic accessories;34,56;5;8,64;181,44;2/17/2019;11:15;Ewallet;172,8;4,761904762;8,64;9,9;;Member;7;65,31;22,8585
24;549-59-1358;A;Yangon;Member;Male;Sports and travel;88,63;3;13,2945;279,1845;03/02/2019;17:36;Ewallet;265,89;4,761904762;13,2945;6;;Male;7;65,31;22,8585
25;227-03-5010;A;Yangon;Member;Female;Home and lifestyle;52,59;8;21,036;441,756;3/22/2019;19:20;Credit card;420,72;4,761904762;21,036;8,5;;Health and beauty;7;65,31;22,8585
26;649-29-6775;B;Mandalay;Normal;Male;Fashion accessories;33,52;1;1,676;35,196;02/08/2019;15:31;Cash;33,52;4,761904762;1,676;6,7;;105-10-6182;2;21,48;2,148
27;189-17-4241;A;Yangon;Normal;Female;Fashion accessories;87,67;2;8,767;184,107;03/10/2019;12:17;Credit card;175,34;4,761904762;8,767;7,7;;A;2;21,48;2,148
28;145-94-9061;B;Mandalay;Normal;Female;Food and beverages;88,36;5;22,09;463,89;1/25/2019;19:48;Cash;441,8;4,761904762;22,09;9,6;;Yangon;2;21,48;2,148
29;848-62-7243;A;Yangon;Normal;Male;Health and beauty;24,89;9;11,2005;235,2105;3/15/2019;15:36;Cash;224,01;4,761904762;11,2005;7,4;;Member;2;21,48;2,148
30;871-79-8483;B;Mandalay;Normal;Male;Fashion accessories;94,13;5;23,5325;494,1825;2/25/2019;19:39;Credit card;470,65;4,761904762;23,5325;4,8;;Male;2;21,48;2,148
31;149-71-6266;B;Mandalay;Member;Male;Sports and travel;78,07;9;35,1315;737,7615;1/28/2019;12:43;Cash;702,63;4,761904762;35,1315;4,5;;Fashion accessories;2;21,48;2,148
32;640-49-2076;B;Mandalay;Normal;Male;Sports and travel;83,78;8;33,512;703,752;01/10/2019;14:49;Cash;670,24;4,761904762;33,512;5,1;;105-31-1824;7;69,52;24,332
33;595-11-5460;A;Yangon;Normal;Male;Health and beauty;96,58;2;9,658;202,818;3/15/2019;10:12;Credit card;193,16;4,761904762;9,658;5,1;;A;7;69,52;24,332
34;183-56-6882;C;Naypyitaw;Member;Female;Food and beverages;99,42;4;19,884;417,564;02/06/2019;10:42;Ewallet;397,68;4,761904762;19,884;7,5;;Yangon;7;69,52;24,332
35;232-16-2483;C;Naypyitaw;Member;Female;Sports and travel;68,12;1;3,406;71,526;01/07/2019;12:28;Ewallet;68,12;4,761904762;3,406;6,8;;Member;7;69,52;24,332
36;129-29-8530;A;Yangon;Member;Male;Sports and travel;62,62;5;15,655;328,755;03/10/2019;19:15;Ewallet;313,1;4,761904762;15,655;7;;Male;7;69,52;24,332
37;272-65-1806;A;Yangon;Normal;Female;Electronic accessories;60,88;9;27,396;575,316;1/15/2019;17:17;Ewallet;547,92;4,761904762;27,396;4,7;;Sports and travel;7;69,52;24,332
38;333-73-7901;C;Naypyitaw;Normal;Female;Health and beauty;54,92;8;21,968;461,328;3/23/2019;13:24;Ewallet;439,36;4,761904762;21,968;7,6;;106-35-6779;2;44,34;4,434
39;777-82-7220;B;Mandalay;Member;Male;Home and lifestyle;30,12;8;12,048;253,008;03/03/2019;13:01;Cash;240,96;4,761904762;12,048;7,7;;A;2;44,34;4,434
40;280-35-5823;B;Mandalay;Member;Female;Home and lifestyle;86,72;1;4,336;91,056;1/17/2019;18:45;Ewallet;86,72;4,761904762;4,336;7,9;;Yangon;2;44,34;4,434
41;554-53-8700;C;Naypyitaw;Member;Male;Home and lifestyle;56,11;2;5,611;117,831;02/02/2019;10:11;Cash;112,22;4,761904762;5,611;6,3;;Member;2;44,34;4,434
42;354-25-5821;B;Mandalay;Member;Female;Sports and travel;69,12;6;20,736;435,456;02/08/2019;13:03;Cash;414,72;4,761904762;20,736;5,6;;Male;2;44,34;4,434
43;228-96-1411;C;Naypyitaw;Member;Female;Food and beverages;98,7;8;39,48;829,08;03/04/2019;20:39;Cash;789,6;4,761904762;39,48;7,6;;Home and lifestyle;2;44,34;4,434
44;617-15-4209;C;Naypyitaw;Member;Male;Health and beauty;15,37;2;1,537;32,277;3/16/2019;19:47;Cash;30,74;4,761904762;1,537;7,2;;109-28-2512;6;97,61;29,283
45;132-32-9879;B;Mandalay;Member;Female;Electronic accessories;93,96;4;18,792;394,632;03/09/2019;18:00;Cash;375,84;4,761904762;18,792;9,5;;B;6;97,61;29,283
46;370-41-7321;B;Mandalay;Member;Male;Health and beauty;56,69;9;25,5105;535,7205;2/27/2019;17:24;Credit card;510,21;4,761904762;25,5105;8,4;;Mandalay;6;97,61;29,283
47;727-46-3608;B;Mandalay;Member;Female;Food and beverages;20,01;9;9,0045;189,0945;02/06/2019;15:47;Ewallet;180,09;4,761904762;9,0045;4,1;;Member;6;97,61;29,283
48;669-54-1719;B;Mandalay;Member;Male;Electronic accessories;18,93;6;5,679;119,259;02/10/2019;12:45;Credit card;113,58;4,761904762;5,679;8,1;;Female;6;97,61;29,283
49;574-22-5561;C;Naypyitaw;Member;Female;Fashion accessories;82,63;10;41,315;867,615;3/19/2019;17:08;Ewallet;826,3;4,761904762;41,315;7,9;;Fashion accessories;6;97,61;29,283
50;326-78-5178;C;Naypyitaw;Member;Male;Food and beverages;91,4;7;31,99;671,79;02/03/2019;10:19;Cash;639,8;4,761904762;31,99;9,5;;109-86-4363;7;60,08;21,028
51;162-48-8011;A;Yangon;Member;Female;Food and beverages;44,59;5;11,1475;234,0975;02/10/2019;15:10;Cash;222,95;4,761904762;11,1475;8,5;;B;7;60,08;21,028
52;616-24-2851;B;Mandalay;Member;Female;Fashion accessories;17,87;4;3,574;75,054;3/22/2019;14:42;Ewallet;71,48;4,761904762;3,574;6,5;;Mandalay;7;60,08;21,028
53;778-71-5554;C;Naypyitaw;Member;Male;Fashion accessories;15,43;1;0,7715;16,2015;1/25/2019;15:46;Credit card;15,43;4,761904762;0,7715;6,1;;Member;7;60,08;21,028
54;242-55-6721;B;Mandalay;Normal;Male;Home and lifestyle;16,16;2;1,616;33,936;03/07/2019;11:49;Ewallet;32,32;4,761904762;1,616;6,5;;Female;7;60,08;21,028
55;399-46-5918;C;Naypyitaw;Normal;Female;Electronic accessories;85,98;8;34,392;722,232;2/28/2019;19:01;Cash;687,84;4,761904762;34,392;8,2;;Sports and travel;7;60,08;21,028
56;106-35-6779;A;Yangon;Member;Male;Home and lifestyle;44,34;2;4,434;93,114;3/27/2019;11:26;Cash;88,68;4,761904762;4,434;5,8;;110-05-6330;6;39,43;11,829
57;635-40-6220;A;Yangon;Normal;Male;Health and beauty;89,6;8;35,84;752,64;02/07/2019;11:28;Ewallet;716,8;4,761904762;35,84;6,6;;C;6;39,43;11,829
58;817-48-8732;A;Yangon;Member;Female;Home and lifestyle;72,35;10;36,175;759,675;1/20/2019;15:55;Cash;723,5;4,761904762;36,175;5,4;;Naypyitaw;6;39,43;11,829
59;120-06-4233;C;Naypyitaw;Normal;Male;Electronic accessories;30,61;6;9,183;192,843;03/12/2019;20:36;Cash;183,66;4,761904762;9,183;9,3;;Normal;6;39,43;11,829
60;285-68-5083;C;Naypyitaw;Member;Female;Sports and travel;24,74;3;3,711;77,931;2/15/2019;17:47;Credit card;74,22;4,761904762;3,711;10;;Female;6;39,43;11,829
61;803-83-5989;C;Naypyitaw;Normal;Male;Home and lifestyle;55,73;6;16,719;351,099;2/24/2019;10:55;Ewallet;334,38;4,761904762;16,719;7;;Food and beverages;6;39,43;11,829
62;347-34-2234;B;Mandalay;Member;Female;Sports and travel;55,07;9;24,7815;520,4115;02/03/2019;13:40;Ewallet;495,63;4,761904762;24,7815;10;;110-48-7033;4;32,62;6,524
63;199-75-8169;A;Yangon;Member;Male;Sports and travel;15,81;10;7,905;166,005;03/06/2019;12:27;Credit card;158,1;4,761904762;7,905;8,6;;B;4;32,62;6,524
64;853-23-2453;B;Mandalay;Member;Male;Health and beauty;75,74;4;15,148;318,108;2/14/2019;14:35;Cash;302,96;4,761904762;15,148;7,6;;Mandalay;4;32,62;6,524
65;877-22-3308;A;Yangon;Member;Male;Health and beauty;15,87;10;7,935;166,635;3/13/2019;16:40;Cash;158,7;4,761904762;7,935;5,8;;Member;4;32,62;6,524
66;838-78-4295;C;Naypyitaw;Normal;Female;Health and beauty;33,47;2;3,347;70,287;02/10/2019;15:43;Ewallet;66,94;4,761904762;3,347;6,7;;Male;4;32,62;6,524
67;109-28-2512;B;Mandalay;Member;Female;Fashion accessories;97,61;6;29,283;614,943;01/07/2019;15:01;Ewallet;585,66;4,761904762;29,283;9,9;;Fashion accessories;4;32,62;6,524
68;232-11-3025;A;Yangon;Normal;Male;Sports and travel;78,77;10;39,385;827,085;1/24/2019;10:04;Cash;787,7;4,761904762;39,385;6,4;;114-35-5271;8;57,91;23,164
69;382-03-4532;A;Yangon;Member;Female;Health and beauty;18,33;1;0,9165;19,2465;02/02/2019;18:50;Cash;18,33;4,761904762;0,9165;4,3;;B;8;57,91;23,164
70;393-65-2792;C;Naypyitaw;Normal;Male;Food and beverages;89,48;10;44,74;939,54;01/06/2019;12:46;Credit card;894,8;4,761904762;44,74;9,6;;Mandalay;8;57,91;23,164
71;796-12-2025;C;Naypyitaw;Normal;Male;Fashion accessories;62,12;10;31,06;652,26;02/11/2019;16:19;Cash;621,2;4,761904762;31,06;5,9;;Normal;8;57,91;23,164
72;510-95-6347;B;Mandalay;Member;Female;Food and beverages;48,52;3;7,278;152,838;03/05/2019;18:17;Ewallet;145,56;4,761904762;7,278;4;;Female;8;57,91;23,164
73;841-35-6630;C;Naypyitaw;Normal;Female;Electronic accessories;75,91;6;22,773;478,233;03/09/2019;18:21;Cash;455,46;4,761904762;22,773;8,7;;Electronic accessories;8;57,91;23,164
74;287-21-9091;A;Yangon;Normal;Male;Home and lifestyle;74,67;9;33,6015;705,6315;1/22/2019;10:55;Ewallet;672,03;4,761904762;33,6015;9,4;;115-38-7388;8;10,18;4,072
75;732-94-0499;C;Naypyitaw;Normal;Female;Electronic accessories;41,65;10;20,825;437,325;1/13/2019;17:04;Credit card;416,5;4,761904762;20,825;5,4;;C;8;10,18;4,072
76;263-10-3913;C;Naypyitaw;Member;Male;Fashion accessories;49,04;9;22,068;463,428;01/09/2019;14:20;Credit card;441,36;4,761904762;22,068;8,6;;Naypyitaw;8;10,18;4,072
77;381-20-0914;A;Yangon;Member;Female;Fashion accessories;20,01;9;9,0045;189,0945;01/12/2019;15:48;Credit card;180,09;4,761904762;9,0045;5,7;;Member;8;10,18;4,072
78;829-49-1914;C;Naypyitaw;Member;Female;Food and beverages;78,31;10;39,155;822,255;03/05/2019;16:24;Ewallet;783,1;4,761904762;39,155;6,6;;Female;8;10,18;4,072
79;756-01-7507;C;Naypyitaw;Normal;Female;Health and beauty;20,38;5;5,095;106,995;1/22/2019;18:56;Cash;101,9;4,761904762;5,095;6;;Fashion accessories;8;10,18;4,072
80;870-72-4431;C;Naypyitaw;Normal;Female;Health and beauty;99,19;6;29,757;624,897;1/21/2019;14:42;Credit card;595,14;4,761904762;29,757;5,5;;115-99-4379;7;54,73;19,1555
81;847-38-7188;B;Mandalay;Normal;Female;Food and beverages;96,68;3;14,502;304,542;1/26/2019;19:56;Ewallet;290,04;4,761904762;14,502;6,4;;B;7;54,73;19,1555
82;480-63-2856;C;Naypyitaw;Normal;Male;Food and beverages;19,25;8;7,7;161,7;1/23/2019;18:37;Ewallet;154;4,761904762;7,7;6,6;;Mandalay;7;54,73;19,1555
83;787-56-0757;C;Naypyitaw;Member;Female;Food and beverages;80,36;4;16,072;337,512;2/23/2019;18:45;Credit card;321,44;4,761904762;16,072;8,3;;Member;7;54,73;19,1555
84;360-39-5055;C;Naypyitaw;Member;Male;Sports and travel;48,91;5;12,2275;256,7775;03/09/2019;10:17;Cash;244,55;4,761904762;12,2275;6,6;;Female;7;54,73;19,1555
85;730-50-9884;C;Naypyitaw;Normal;Female;Sports and travel;83,06;7;29,071;610,491;03/05/2019;14:31;Ewallet;581,42;4,761904762;29,071;4;;Fashion accessories;7;54,73;19,1555
86;362-58-8315;C;Naypyitaw;Normal;Male;Fashion accessories;76,52;5;19,13;401,73;3/25/2019;10:23;Cash;382,6;4,761904762;19,13;9,9;;118-62-1812;4;78,38;15,676
87;633-44-8566;A;Yangon;Member;Male;Food and beverages;49,38;7;17,283;362,943;3/27/2019;20:35;Credit card;345,66;4,761904762;17,283;7,3;;C;4;78,38;15,676
88;504-35-8843;A;Yangon;Normal;Male;Sports and travel;42,47;1;2,1235;44,5935;01/02/2019;16:57;Cash;42,47;4,761904762;2,1235;5,7;;Naypyitaw;4;78,38;15,676
89;318-68-5053;B;Mandalay;Normal;Female;Health and beauty;76,99;6;23,097;485,037;2/27/2019;17:55;Cash;461,94;4,761904762;23,097;6,1;;Member;4;78,38;15,676
90;565-80-5980;C;Naypyitaw;Member;Female;Home and lifestyle;47,38;4;9,476;198,996;1/23/2019;10:25;Cash;189,52;4,761904762;9,476;7,1;;Female;4;78,38;15,676
91;225-32-0908;C;Naypyitaw;Normal;Female;Sports and travel;44,86;10;22,43;471,03;1/26/2019;19:54;Ewallet;448,6;4,761904762;22,43;8,2;;Home and lifestyle;4;78,38;15,676
92;873-51-0671;A;Yangon;Member;Female;Sports and travel;21,98;7;7,693;161,553;01/10/2019;16:42;Ewallet;153,86;4,761904762;7,693;5,1;;120-06-4233;6;30,61;9,183
93;152-08-9985;B;Mandalay;Member;Male;Health and beauty;64,36;9;28,962;608,202;03/12/2019;12:09;Credit card;579,24;4,761904762;28,962;8,6;;C;6;30,61;9,183
94;512-91-0811;C;Naypyitaw;Normal;Male;Health and beauty;89,75;1;4,4875;94,2375;02/06/2019;20:05;Credit card;89,75;4,761904762;4,4875;6,6;;Naypyitaw;6;30,61;9,183
95;594-34-4444;A;Yangon;Normal;Male;Electronic accessories;97,16;1;4,858;102,018;03/08/2019;20:38;Ewallet;97,16;4,761904762;4,858;7,2;;Normal;6;30,61;9,183
96;766-85-7061;B;Mandalay;Normal;Male;Health and beauty;87,87;10;43,935;922,635;3/29/2019;10:25;Ewallet;878,7;4,761904762;43,935;5,1;;Male;6;30,61;9,183
97;871-39-9221;C;Naypyitaw;Normal;Female;Electronic accessories;12,45;6;3,735;78,435;02/09/2019;13:11;Cash;74,7;4,761904762;3,735;4,1;;Electronic accessories;6;30,61;9,183
98;865-92-6136;A;Yangon;Normal;Male;Food and beverages;52,75;3;7,9125;166,1625;3/23/2019;10:16;Ewallet;158,25;4,761904762;7,9125;9,3;;120-54-2248;5;28,86;7,215
99;733-01-9107;B;Mandalay;Normal;Male;Home and lifestyle;82,7;6;24,81;521,01;03/05/2019;18:14;Cash;496,2;4,761904762;24,81;7,4;;B;5;28,86;7,215
100;163-56-7055;C;Naypyitaw;Member;Male;Fashion accessories;48,71;1;2,4355;51,1455;3/26/2019;19:20;Cash;48,71;4,761904762;2,4355;4,1;;Mandalay;5;28,86;7,215
101;189-98-2939;C;Naypyitaw;Normal;Male;Fashion accessories;78,55;9;35,3475;742,2975;03/01/2019;13:22;Cash;706,95;4,761904762;35,3475;7,2;;Normal;5;28,86;7,215
102;551-21-3069;C;Naypyitaw;Normal;Female;Electronic accessories;23,07;9;10,3815;218,0115;02/01/2019;11:27;Cash;207,63;4,761904762;10,3815;4,9;;Female;5;28,86;7,215
103;212-62-1842;A;Yangon;Normal;Male;Food and beverages;58,26;6;17,478;367,038;3/28/2019;16:44;Cash;349,56;4,761904762;17,478;9,9;;Food and beverages;5;28,86;7,215
104;716-39-1409;B;Mandalay;Normal;Male;Health and beauty;30,35;7;10,6225;223,0725;3/19/2019;18:19;Cash;212,45;4,761904762;10,6225;8;;122-61-9553;9;51,32;23,094
105;704-48-3927;A;Yangon;Member;Male;Electronic accessories;88,67;10;44,335;931,035;01/12/2019;14:50;Ewallet;886,7;4,761904762;44,335;7,3;;C;9;51,32;23,094
106;628-34-3388;C;Naypyitaw;Normal;Male;Fashion accessories;27,38;6;8,214;172,494;01/05/2019;20:54;Credit card;164,28;4,761904762;8,214;7,9;;Naypyitaw;9;51,32;23,094
107;630-74-5166;A;Yangon;Normal;Male;Sports and travel;62,13;6;18,639;391,419;3/22/2019;20:19;Cash;372,78;4,761904762;18,639;7,4;;Normal;9;51,32;23,094
108;588-01-7461;C;Naypyitaw;Normal;Female;Food and beverages;33,98;9;15,291;321,111;3/24/2019;10:43;Cash;305,82;4,761904762;15,291;4,2;;Female;9;51,32;23,094
109;861-77-0145;C;Naypyitaw;Member;Male;Electronic accessories;81,97;10;40,985;860,685;03/03/2019;14:30;Cash;819,7;4,761904762;40,985;9,2;;Electronic accessories;9;51,32;23,094
110;479-26-8945;B;Mandalay;Member;Female;Sports and travel;16,49;2;1,649;34,629;02/05/2019;11:32;Ewallet;32,98;4,761904762;1,649;4,6;;123-19-1176;8;58,22;23,288
111;210-67-5886;C;Naypyitaw;Member;Female;Health and beauty;98,21;3;14,7315;309,3615;02/05/2019;10:41;Credit card;294,63;4,761904762;14,7315;7,8;;A;8;58,22;23,288
112;227-78-1148;B;Mandalay;Normal;Female;Fashion accessories;72,84;7;25,494;535,374;2/15/2019;12:44;Cash;509,88;4,761904762;25,494;8,4;;Yangon;8;58,22;23,288
113;645-44-1170;A;Yangon;Member;Male;Home and lifestyle;58,07;9;26,1315;548,7615;1/19/2019;20:07;Ewallet;522,63;4,761904762;26,1315;4,3;;Member;8;58,22;23,288
114;237-01-6122;C;Naypyitaw;Member;Female;Home and lifestyle;80,79;9;36,3555;763,4655;02/01/2019;20:31;Credit card;727,11;4,761904762;36,3555;9,5;;Male;8;58,22;23,288
115;225-98-1496;C;Naypyitaw;Normal;Female;Fashion accessories;27,02;3;4,053;85,113;03/02/2019;13:01;Credit card;81,06;4,761904762;4,053;7,1;;Health and beauty;8;58,22;23,288
116;291-32-1427;B;Mandalay;Member;Male;Fashion accessories;21,94;5;5,485;115,185;03/05/2019;12:29;Ewallet;109,7;4,761904762;5,485;5,3;;123-35-4896;9;46,66;20,997
117;659-65-8956;B;Mandalay;Member;Male;Fashion accessories;51,36;1;2,568;53,928;1/16/2019;15:26;Ewallet;51,36;4,761904762;2,568;5,2;;C;9;46,66;20,997
118;642-32-2990;A;Yangon;Normal;Female;Food and beverages;10,96;10;5,48;115,08;02/02/2019;20:48;Ewallet;109,6;4,761904762;5,48;6;;Naypyitaw;9;46,66;20,997
119;378-24-2715;B;Mandalay;Normal;Male;Home and lifestyle;53,44;2;5,344;112,224;1/20/2019;20:38;Ewallet;106,88;4,761904762;5,344;4,1;;Normal;9;46,66;20,997
120;638-60-7125;A;Yangon;Normal;Female;Electronic accessories;99,56;8;39,824;836,304;2/14/2019;17:03;Credit card;796,48;4,761904762;39,824;5,2;;Female;9;46,66;20,997
121;659-36-1684;C;Naypyitaw;Member;Male;Sports and travel;57,12;7;19,992;419,832;01/12/2019;12:02;Credit card;399,84;4,761904762;19,992;6,5;;Sports and travel;9;46,66;20,997
122;219-22-9386;B;Mandalay;Member;Male;Sports and travel;99,96;9;44,982;944,622;03/09/2019;17:26;Credit card;899,64;4,761904762;44,982;4,2;;124-31-1458;3;79,59;11,9385
123;336-78-2147;C;Naypyitaw;Member;Male;Home and lifestyle;63,91;8;25,564;536,844;3/13/2019;19:52;Credit card;511,28;4,761904762;25,564;4,6;;A;3;79,59;11,9385
124;268-27-6179;B;Mandalay;Member;Female;Fashion accessories;56,47;8;22,588;474,348;03/09/2019;14:57;Ewallet;451,76;4,761904762;22,588;7,3;;Yangon;3;79,59;11,9385
125;668-90-8900;A;Yangon;Normal;Female;Home and lifestyle;93,69;7;32,7915;688,6215;03/10/2019;18:44;Credit card;655,83;4,761904762;32,7915;4,5;;Member;3;79,59;11,9385
126;870-54-3162;A;Yangon;Normal;Female;Sports and travel;32,25;5;8,0625;169,3125;1/27/2019;13:26;Cash;161,25;4,761904762;8,0625;9;;Female;3;79,59;11,9385
127;189-08-9157;C;Naypyitaw;Normal;Female;Fashion accessories;31,73;9;14,2785;299,8485;01/08/2019;16:17;Credit card;285,57;4,761904762;14,2785;5,9;;Electronic accessories;3;79,59;11,9385
128;663-86-9076;C;Naypyitaw;Member;Female;Food and beverages;68,54;8;27,416;575,736;01/08/2019;15:57;Ewallet;548,32;4,761904762;27,416;8,5;;125-45-2293;6;99,1;29,73
129;549-84-7482;B;Mandalay;Normal;Female;Sports and travel;90,28;9;40,626;853,146;02/08/2019;11:15;Ewallet;812,52;4,761904762;40,626;7,2;;A;6;99,1;29,73
130;191-10-6171;B;Mandalay;Normal;Female;Fashion accessories;39,62;7;13,867;291,207;1/25/2019;13:18;Cash;277,34;4,761904762;13,867;7,5;;Yangon;6;99,1;29,73
131;802-70-5316;A;Yangon;Member;Female;Sports and travel;92,13;6;27,639;580,419;03/06/2019;20:34;Cash;552,78;4,761904762;27,639;8,3;;Normal;6;99,1;29,73
132;695-51-0018;B;Mandalay;Normal;Female;Sports and travel;34,84;4;6,968;146,328;02/10/2019;18:36;Cash;139,36;4,761904762;6,968;7,4;;Female;6;99,1;29,73
133;590-83-4591;B;Mandalay;Member;Male;Electronic accessories;87,45;6;26,235;550,935;2/17/2019;14:40;Credit card;524,7;4,761904762;26,235;8,8;;Fashion accessories;6;99,1;29,73
134;483-71-1164;C;Naypyitaw;Normal;Female;Health and beauty;81,3;6;24,39;512,19;03/08/2019;16:43;Ewallet;487,8;4,761904762;24,39;5,3;;126-54-1082;9;21,54;9,693
135;597-78-7908;C;Naypyitaw;Normal;Male;Fashion accessories;90,22;3;13,533;284,193;2/18/2019;19:39;Cash;270,66;4,761904762;13,533;6,2;;A;9;21,54;9,693
136;700-81-1757;A;Yangon;Normal;Female;Electronic accessories;26,31;5;6,5775;138,1275;1/18/2019;20:59;Credit card;131,55;4,761904762;6,5775;8,8;;Yangon;9;21,54;9,693
137;354-39-5160;A;Yangon;Member;Female;Home and lifestyle;34,42;6;10,326;216,846;2/18/2019;15:39;Cash;206,52;4,761904762;10,326;9,8;;Member;9;21,54;9,693
138;241-72-9525;B;Mandalay;Normal;Male;Sports and travel;51,91;10;25,955;545,055;2/16/2019;12:21;Cash;519,1;4,761904762;25,955;8,2;;Female;9;21,54;9,693
139;575-30-8091;A;Yangon;Normal;Male;Sports and travel;72,5;8;29;609;3/16/2019;19:25;Ewallet;580;4,761904762;29;9,2;;Home and lifestyle;9;21,54;9,693
140;731-81-9469;C;Naypyitaw;Member;Female;Sports and travel;89,8;10;44,9;942,9;1/23/2019;13:00;Credit card;898;4,761904762;44,9;5,4;;127-47-6963;4;51,71;10,342
141;280-17-4359;C;Naypyitaw;Member;Male;Health and beauty;90,5;10;45,25;950,25;1/25/2019;13:48;Cash;905;4,761904762;45,25;8,1;;A;4;51,71;10,342
142;338-65-2210;C;Naypyitaw;Member;Female;Health and beauty;68,6;10;34,3;720,3;02/05/2019;19:57;Cash;686;4,761904762;34,3;9,1;;Yangon;4;51,71;10,342
